NCT_Number,Title,Sponsor,Status,Phases,Conditions
NCT03236870,A Study to Evaluate the Effectiveness and Patient-Reported Outcome of Adalimumab in Patients With Moderate to Severe Plaque Psoriasis in China,AbbVie,COMPLETED,N/A,Psoriasis
NCT02687828,"A Prospective, Mono-Country and Multi-center Study to Observe Safety and Effectiveness of Adalimumab in KoREan Intestinal Behcet's Disease(BD) Patients",AbbVie,COMPLETED,N/A,Intestinal Behcet's Disease (BD)
NCT06527534,Filgotinib Effect on Proteomic Profile and Micro-RNA Expression in Patients With Active Rheumatoid Arthritis (RA),Universita di Verona,RECRUITING,PHASE4,Rheumatoid Arthritis
NCT01895764,Effect of the Combination of Methotrexate and Adalimumab on Reduction of Immunization in Ankylosing Spondylitis (COMARIS),"University Hospital, Tours",COMPLETED,PHASE4,Ankylosing Spondylitis
NCT03828019,Adalimumab vs. Conventional Immunosuppression for Uveitis Trial,JHSPH Center for Clinical Trials,COMPLETED,PHASE3,Uveitis
NCT01387802,Canadian Humira Post Marketing Observational Epidemiological Study: Assessing Effectiveness in Ankylosing Spondylitis,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Ankylosing Spondylitis
NCT00234234,Predictors of the Response to Adalimumab in Rheumatoid Arthritis,"University Hospital, Rouen",COMPLETED,PHASE4,Rheumatoid Arthritis
NCT01592292,An Observational Study of MabThera (Rituximab) in Patients With Rheumatoid Arthritis And Inadequate Response Or Intolerance to a First Anti-TNF Alpha Therapy,Hoffmann-La Roche,COMPLETED,N/A,Rheumatoid Arthritis
NCT06180382,Comparison of Vedolizumab Treatment to Adalimumab Dose Intensification in Crohn's Disease Patients With Loss of Response or Biomarker Activity to Adalimumab on First Line With Therapeutic Drug Concentration.,Centre Hospitalier Universitaire de Saint Etienne,RECRUITING,PHASE4,Crohn's Disease
NCT00855608,"Intravitreal Adalimumab in Refractory Diabetic Retinopathy, Choroidal Neovascularization or Uveitis: A Pilot Study",Rafic Hariri University Hospital,UNKNOWN,PHASE1,Uveitis | Diabetic Retinopathy | Choroidal Neovascularization
NCT02896920,Canadian Humira Post Marketing Observational Epidemiological Study : Assessing Humira Real-life Effectiveness and Impact on HS Burden of Illness,AbbVie,COMPLETED,N/A,Hidradenitis Suppurativa (HS)
NCT01166620,Observational Real-world Evaluation of Cost of Infections of Rheumatoid Arthritis (RA) Patients on Biologics,Bristol-Myers Squibb,COMPLETED,N/A,Rheumatoid Arthritis
NCT02516774,A Trial of Adalimumab Combined to Chemotherapy and Radiotherapy in Patients With Anaplastic Thyroid Cancers,"Gustave Roussy, Cancer Campus, Grand Paris",WITHDRAWN,PHASE1,Anaplastic Thyroid Cancers
NCT04750213,A Study to Assess Adverse Events and Change in Disease State in Adult Participants Being Treated With Humira in Participants Diagnosed With Pyoderma Gangrenosum (PG),AbbVie,COMPLETED,N/A,Pyoderma Gangrenosum
NCT00234897,Efficacy of HUMIRA in Subjects With Active Rheumatoid Arthritis,Abbott,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT02620189,Th17 Responses Evaluated in RA Patients on Inhibitors of TNFα,Queen Mary University of London,COMPLETED,N/A,Rheumatoid Arthritis
NCT00195676,Efficacy and Safety of Adalimumab in Subjects With Moderate to Severe Chronic Plaque Psoriasis,Abbott,COMPLETED,PHASE3,Psoriasis
NCT05523050,Active Surgical Intervention on Crohn's Disease,Wuxi People's Hospital,UNKNOWN,NA,Crohn Disease
NCT04551352,A Study of RO7293583 in Participants With Unresectable Metastatic Tyrosinase Related Protein 1 (TYRP1)-Positive Melanomas,Hoffmann-La Roche,COMPLETED,PHASE1,Cutaneous Melanoma | Uveal Melanoma | Mucosal Melanoma
NCT02056184,Targeted Ultrasound in Rheumatoid Arthritis,University of Leeds,COMPLETED,PHASE4,Rheumatoid Arthritis | Targeted Ultrasound
NCT02413047,Evaluate if Response to Infliximab or Adalimumab May be Regained With an Immunomodulator,Indiana University,TERMINATED,NA,Inflammatory Bowel Disease | Ulcerative Colitis | Crohn's Disease
NCT03001115,Post-Marketing Surveillance of Adalimumab in Korean Hidradenitis Suppurativa Subjects,AbbVie,COMPLETED,N/A,Hidradenitis Suppurativa (HS)
NCT05527444,The Clinical Efficacy and the Changes of Immune Cells Subsets With Bioagents in Ankylosing Spondylitis Patients,Qilu Hospital of Shandong University,UNKNOWN,PHASE4,Ankylosing Spondylitis
NCT06005532,"Study Evaluation of the Efficacy, Safety and Immunogenicity of Adalimumab in Comparison With Humira®","Mabscale, LLC",UNKNOWN,PHASE3,Plaque Psoriasis
NCT01077258,Efficacy and Safety of Adalimumab in Patients With Rheumatoid Arthritis in Routine Clinical Practice,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Rheumatoid Arthritis
NCT06742606,Efficacy of Biological Therapy in Pediatric Inflammatory Bowel Disease,Ain Shams University,NOT_YET_RECRUITING,EARLY_PHASE1,Effect of Drug
NCT01579006,Observational Study of RoActemra/Actemra (Tocilizumab) in Patients With Rheumatoid Arthritis,Hoffmann-La Roche,COMPLETED,N/A,Rheumatoid Arthritis
NCT02187055,An Efficacy And Safety Study Evaluating Tofacitinib With And Without Methotrexate Compared To Adalimumab With Methotrexate,Pfizer,COMPLETED,PHASE4,Rhematoid Arthritis
NCT03248024,An Explanatory Factors Analysis of Inflammatory Bowel Diseases(IBD's) Management Costs for Adults Patients Treated by Biotherapy and Followed at Nancy University Hospital,"Central Hospital, Nancy, France",COMPLETED,N/A,Inflammatory Bowel Diseases
NCT02694523,BI 655066/ABBV-066 (Risankizumab) Compared to Active Comparator (Adalimumab) in Patients With Moderate to Severe Chronic Plaque Psoriasis,AbbVie,COMPLETED,PHASE3,Psoriasis
NCT01564823,Adalimumab on Preventing Post-chirurgic Recurrence on Crohn´s Disease,Grupo Espanol de Trabajo en Enfermedad de Crohn y Colitis Ulcerosa,COMPLETED,PHASE3,Crohn´s Disease
NCT01960790,Special Investigation in Patients With Intestinal Behcet's Disease (All Case Investigation),AbbVie,COMPLETED,N/A,Behcet's Disease
NCT06654882,Trial of Sequential Medications AfteR TNFi Failure in Juvenile Idiopathic Arthritis,Duke University,RECRUITING,PHASE3,Polyarticular Course Juvenile Idiopathic Arthritis (JIA)
NCT03254810,Comparison of the Safety and PK of SYN060 to Humira® in Healthy Adult Subjects,"Synermore Biologics Co., Ltd.",COMPLETED,PHASE1,"Arthritis, Rheumatoid"
NCT00055523,A Study of the Human Anti-TNF Antibody Adalimumab for the Induction of Clinical Remission in Subjects With Crohn's Disease,Abbott,COMPLETED,PHASE2,Crohn's Disease
NCT02852694,Reduce Risk for Crohn's Disease Patients,PIBD-Net,COMPLETED,PHASE4,Crohn's Disease
NCT01083160,"Clinical Outcomes, Compliance and Effectiveness of Switching From Infliximab or Etanercept to Adalimumab in Patients With Active Rheumatoid Arthritis (RA). A Multicenter Post-Marketing Observational Study in Routine Clinical Use",Abbott,TERMINATED,N/A,Rheumatoid Arthritis
NCT00195650,Long Term Open Label Continuation Study,Abbott,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT00338650,Treatment of the Human Anti-TNF Monoclonal Antibody Adalimumab in Moderate to Severe Crohn's Disease With Previous Exposure to Infliximab (CHOICE),Abbott,COMPLETED,PHASE3,Crohn's Disease
NCT00237887,Efficacy and Safety of Adalimumab in Subjects With Moderate to Severe Chronic Plaque Psoriasis,Abbott,COMPLETED,PHASE3,Psoriasis
NCT05884242,A Study of Adalimumab on Inflammatory Mediators Following a Systemic Endotoxin Challenge,"Janssen Research & Development, LLC",COMPLETED,PHASE1,Healthy
NCT01225393,A Study to Evaluate the Efficacy and Safety of MLTA3698A in Combination With a Disease-Modifying Anti-Rheumatic Drug (DMARD) Compared With Adalimumab in Combination With a DMARD in Patients With Active Rheumatoid Arthritis,"Genentech, Inc.",COMPLETED,PHASE2,Rheumatoid Arthritis
NCT01385826,Effect of Adalimumab for the Treatment of Uveitis in Juvenile Idiopathic Arthritis,Assistance Publique - Hôpitaux de Paris,COMPLETED,PHASE2 | PHASE3,Uveitis | Juvenile Arthritis
NCT02714634,Clinical Trial Evaluating Methotrexate or Leflunomide + Targeted Therapy Versus Methotrexate or Leflunomide + Sulfasalazine + Hydroxychloroquine in Patients With Rheumatoid Arthritis and Insufficient Response to Methotrexate or Leflunomide,"University Hospital, Strasbourg, France",RECRUITING,PHASE4,Rheumatoid Arthritis | Insufficient Response to Methotrexate or Leflunomide
NCT00195715,Long-term Safety and Tolerability Study of Adalimumab in Subjects With Crohn's Disease,Abbott,COMPLETED,PHASE3,Crohn's Disease
NCT01474876,Multi-country Post-Marketing Observational Study on Maintenance of Effectiveness of Adalimumab (Humira®) in Patients With Ankylosing Spondylitis and Psoriatic Arthritis,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Ankylosing Spondylitis | Psoriatic Arthritis
NCT05322473,Evaluation of Sonelokimab for the Treatment of Patients With Active Moderate to Severe Hidradenitis Suppurativa,MoonLake Immunotherapeutics AG,COMPLETED,PHASE2,Hidradenitis Suppurativa
NCT00745329,The Effect of Infliximab on Sperm Quality,Tel-Aviv Sourasky Medical Center,UNKNOWN,N/A,Crohn's Disease | Ulcerative Colitis
NCT01556672,Adalimumab-psoriasis and Small Bowel Lesions,Innovaderm Research Inc.,COMPLETED,PHASE4,Plaque Psoriasis | Crohn's Disease
NCT00686439,Adalimumab for Inflammatory Osteoarthritis,University of Alberta,COMPLETED,PHASE1 | PHASE2,Osteoarthritis
NCT01237262,"Evaluation of Lymphocytic Infiltrate, Dendritic Cells and Cytokines Expression in Psoriatic Lesion and Normal Skin Before and After TNF Alfa Inhibitors Therapy",University of Padova,UNKNOWN,PHASE4,"Moderate to Severe Psoriasis. | Absolute Number, Density of Immune Infiltrate and Dendritic Cells and Inflammatory Cytokines Expression Pattern."
NCT05299242,"The Anti-Freaze-F Study- ""Anti-TNF for Treatment of Frozen Shoulder - a Feasibility Study""",University of Oxford,COMPLETED,PHASE2 | PHASE3,Frozen Shoulder
NCT00348283,Effects of Adalimumab on Mucosal Healing in Subjects With Crohn's Disease Involving the Colon,Abbott,COMPLETED,PHASE3,Crohn's Disease
NCT02883296,Long-term Follow-up of Anal Fistulae in Crohn's Disease Treated With Anti-TNFalpha and Interest of New MRI Sequences,"Central Hospital, Nancy, France",COMPLETED,NA,Anal Fistula | Crohn's Disease
NCT03339102,"Post-marketing Surveillance Study of Adalimumab (Humira®) for Non-infectious Intermediate, Posterior, or Panuveitis Patients",AbbVie,COMPLETED,N/A,"Non-infectious Intermediate, Posterior and Panuveitis"
NCT00649922,Assessment of the Effect of Adalimumab on Response to Influenza Virus and Pneumococcal Vaccines in Subjects With Rheumatoid Arthritis,Abbott,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT02755194,"""Drugs in Lactation"" Analysis Consortium",The Hospital for Sick Children,TERMINATED,N/A,Lactation
NCT03100253,Rheumatoid Arthritis Treatment After First Anti-TNF INvestiGation,Mario Negri Institute for Pharmacological Research,TERMINATED,PHASE4,Rheumatoid Arthritis
NCT00645905,Study of Two Dosing Schedules of Adalimumab in Subjects With Moderate to Severe Chronic Plaque Psoriasis,Abbott,COMPLETED,PHASE2,Psoriasis
NCT03827876,Enstilar in Combination With Enbrel or Humira for Plaque Psoriasis,Psoriasis Treatment Center of Central New Jersey,RECRUITING,PHASE4,Psoriasis
NCT02706704,Intravitreal Adalimumab Versus Subcutaneous Adalimumab in Non-infectious Uveitis,American University of Beirut Medical Center,RECRUITING,PHASE2,Uveitis | Non-Infectious Uveitis
NCT01881464,Anti TNF α Improves Endothelial Dysfunction in IBD Patients,Carmel Medical Center,UNKNOWN,N/A,Crohn's Disease
NCT03108326,Real World Effectiveness of Ustekinumab in Induction and Maintenance Therapy for Crohn´s Disease,Ced Service GmbH,UNKNOWN,N/A,Crohn Disease
NCT01752855,Study in Rheumatoid Arthritis for Subjects Who Completed Preceding Study M13-390 With Adalimumab,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE2,Rheumatoid Arthritis
NCT00233558,Open-Label Steroid Reduction Study of Adalimumab With Methotrexate in Patients With Active Rheumatoid Arthritis,Abbott,TERMINATED,PHASE4,Rheumatoid Arthritis
NCT02786563,Changes in Ultrasonographic Assessment of Inflammation Upon Initiation of Adalimumab Combination Therapy in Chinese Rheumatoid Arthritis (RA) Patients With Inadequate Response to Methotrexate,AbbVie,WITHDRAWN,N/A,Rheumatoid Arthritis (RA)
NCT00814255,Novel Therapies for Resistant FSGS (FONTII): Phase II Clinical Trial,NYU Langone Health,COMPLETED,PHASE2,Focal Segmental Glomerulosclerosis
NCT02137226,BI 695501 Compared to Adalimumab in Patients With Active Rheumatoid Arthritis,Boehringer Ingelheim,COMPLETED,PHASE3,"Arthritis, Rheumatoid"
NCT02916017,"HUMIRA® Long-term Treatment in Patients With Non-infectious Intermediate-, Posterior-, or Pan-uveitis",AbbVie,COMPLETED,N/A,Uveitis
NCT03816397,Adalimumab in JIA-associated Uveitis Stopping Trial,Nisha Acharya,COMPLETED,PHASE4,Uveitis | JIA
NCT03104400,A Study Comparing Upadacitinib (ABT-494) to Placebo and to Adalimumab in Participants With Psoriatic Arthritis Who Have an Inadequate Response to at Least One Non-Biologic Disease Modifying Anti-Rheumatic Drug (DMARD),AbbVie,COMPLETED,PHASE3,Psoriatic Arthritis
NCT02092389,"Fecal Calprotectin Levels, Quality of Life, and Workability in Patients Suffering From Ulcerative Colitis Under Adalimumab Therapy - AdaProQuo",AbbVie,TERMINATED,N/A,Moderate to Severe Ulcerative Colitis
NCT02322008,Anti-TNF Therapy in Danish Patients With Inflammatory Bowel Diseases in Clinical Practice,"Regionshospitalet Viborg, Skive",COMPLETED,N/A,Crohn's Disease | Ulcerative Colitis | Inflammatory Bowel Disease
NCT01148225,"A Study of the Long-term Safety and Efficacy of Adalimumab in Subjects With Intermediate-, Posterior-, or Pan-uveitis",AbbVie,COMPLETED,PHASE3,Uveitis
NCT05540743,Biologic Therapy in Pediatric JIA Uveitis,Kasr El Aini Hospital,UNKNOWN,PHASE4,Juvenile Idiopathic Arthritis Associated Uveitis
NCT01156532,Clinical Effectiveness and Impact on Health-related Quality of Life in Peruvian Patients With Psoriasis After 16 Weeks of Adalimumab Therapy,"AbbVie (prior sponsor, Abbott)",TERMINATED,N/A,Moderate to Severe Psoriasis
NCT04131504,Precision Crohn's Disease Management Utilizing Predictive Protein Panels (ENvISION),"Children's Hospital Medical Center, Cincinnati",COMPLETED,N/A,Crohn's Disease | IBD
NCT03712826,Identification by Cytometry by Mass of Predictive Immunological Profiles of Answer to Treatmentby Biotherapics for Patients With Crohn's Disease,Hospices Civils de Lyon,WITHDRAWN,NA,Crohn Disease
NCT01674413,Calprotectin-Directed Humira® Maintenance Therapy (CADHUM),Peter Higgins,WITHDRAWN,PHASE3,Crohn's Disease
NCT05495568,"To Compare Pharmacokinetics, Efficacy, and Safety of CT-P17 With Humira in Patients With Moderate to Severe Chronic Plaque Psoriasis",Celltrion,COMPLETED,PHASE3,Moderate to Severe Chronic Plaque Psoriasis
NCT06849908,Baricitinib in the Treatment of Intestinal Behçet's Syndrome,Peking Union Medical College Hospital,RECRUITING,PHASE2,"Behcet Syndrome, Intestinal Type"
NCT01548768,RHYTHM (Formerly Escape II Myocardium),Columbia University,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT02362074,Progress at Work - The Impact of Adalimumab on Work Related Productivity in Patients With Rheumatoid Arthritis,AbbVie,COMPLETED,N/A,Rheumatoid Arthritis
NCT02786576,Effectiveness of Adalimumab in Moderate to Severe HidrAdenitis SuppuRativa Patients - a Multi cOuNtry studY in Real Life Setting,AbbVie,COMPLETED,N/A,Hidradenitis Suppurativa
NCT01387789,"A Study of Rheumatoid Arthritis Patients on Adalimumab to Evaluate Quality of Life Variables, Effects on Work Productivity and Functional Outcomes in Malaysia","AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Rheumatoid Arthritis
NCT05542459,Multi-omics to Predict Responses to Biologics in IBD,"Sixth Affiliated Hospital, Sun Yat-sen University",UNKNOWN,N/A,Crohn Disease | Ulcerative Colitis
NCT04183608,A Trial COmparing staNdard of Care Versus Treat to Target With telemonitoRing and Patient Education in Patients With Ulcerative cOlitis Initiating Adalimumab,Groupe d'Etude Therapeutique des Affections Inflammatoires Digestives,RECRUITING,PHASE4,Ulcerative Colitis
NCT03505008,"Evaluation of the Optimal MTX Dose as an Add-on Therapy to Adalimumab for RA Patients in Japan, South Korea and Taiwan",Keio University,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT03775824,Faecal Analyses in Rheumatoid Arthritis Therapy,Region Skane,COMPLETED,N/A,Rheumatoid Arthritis
NCT05190484,"bIosimilar of aDalimumab, an European evAluation",Fresenius Kabi,UNKNOWN,N/A,Rheumatoid Arthritis | Ankylosing Spondylitis | Psoriatic Arthritis | Crohn Disease | Ulcerative Colitis
NCT03217734,MAP Study: Methotrexate and Adalimumab in Psoriasis,Jeffrey J Crowley MD,COMPLETED,PHASE2 | PHASE3,Psoriasis
NCT03789292,A Study to Compare Efficacy and Safety of CT-P17 With Humira in Patients With Active Rheumatoid Arthritis,Celltrion,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT01083693,"Quality of Life Outcomes of HUMIRA in Rheumatoid Arthritis (RA), Psoriatic Arthritis (PsA), Ankylosing Spondylitis (AS) After Unsustainable Response to Biologicals and Disease Modifying Antirheumatic Drugs",Abbott,COMPLETED,N/A,Rheumatoid Arthritis | Ankylosing Spondylitis | Psoriatic Arthritis
NCT00726804,Discontinuation of TNF-alpha Inhibitors in Patients With Spondyloarthritis,"Glostrup University Hospital, Copenhagen",TERMINATED,PHASE4,SPONDYLOARTHRITIS
NCT01231321,A Study of Adalimumab When Added to Inadequate Standard Anti-rheumatic Therapy in Patients With Active Rheumatoid Arthritis,Abbott,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT03266471,Cytokines and Genes in Therapeutic Response in Crohn's Disease,Vanderbilt University Medical Center,COMPLETED,N/A,Inflammatory Bowel Diseases
NCT03927352,The Purpose of This Research Study is to Compare the Efficacy and Safety of SCT630 and Adalimumab (HUMIRA®) in Adults With Plaque Psoriasis,Sinocelltech Ltd.,UNKNOWN,PHASE3,Psoriasis
NCT03412747,A Study to Evaluate the Efficacy and Safety of Bimekizumab in Adult Subjects With Moderate to Severe Chronic Plaque Psoriasis,UCB Biopharma SRL,COMPLETED,PHASE3,Chronic Plaque Psoriasis | Moderate to Severe Plaque Psoriasis
NCT02395055,"Comparative Clinical Study of Pharmacokinetics, Tolerance and Safety of BCD-057 and Humira in Healthy Volunteers",Biocad,COMPLETED,PHASE1,Healthy
NCT06333210,"Study of the Efficacy, Safety, Pharmacokinetics and Pharmacodynamics of BCD-180 in Patients With Axial Spondyloarthritis (LEVENTA)",Biocad,ACTIVE_NOT_RECRUITING,PHASE3,Axial Spondyloarthritis
NCT02016105,Study to Demonstrate Equivalent Efficacy and to Compare Safety of Biosimilar Adalimumab (GP2017) and Humira,Sandoz,COMPLETED,PHASE3,Plaque Type Psoriasis
NCT03640637,The Role of PET/MRI in the Diagnosis and Treatment of Children and Adolescents With Inflammatory Bowel Diseases,Odense University Hospital,UNKNOWN,N/A,Inflammatory Bowel Diseases | Crohn Disease | Ulcerative Colitis
NCT01105741,"Metabolomic Analysis, a Potential Tool to Direct Treatment With Adalimumab in Crohn's Disease (CD)",Martin Storr,COMPLETED,N/A,Crohn's Disease
NCT01070303,"Remission in Subjects With Crohn's Disease, Open Label Extension",Abbott,COMPLETED,PHASE3,Crohn's Disease
NCT03056924,"Immunogenicity of Influenza, Pneumococcal and Hepatitis B Vaccines in IBD Patients Treated With Vedolizumab",Boston Medical Center,COMPLETED,N/A,Inflammatory Bowel Diseases
NCT02963402,Immunoregulatory Mechanisms of Treg Cells Induced by Tocilizumab,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,COMPLETED,N/A,"Arthritis,Rheumatoid"
NCT02634541,Adalimumab in Alleviating Inflammation in Patients With Axial Spondyloarthritis,University of Helsinki,UNKNOWN,PHASE4,Ankylosing Spondyloarthritis
NCT01695239,A Study of Ixekizumab in Participants With Active Psoriatic Arthritis,Eli Lilly and Company,COMPLETED,PHASE3,"Psoriasis, Arthritic"
NCT00647270,"Study Comparing 80 mg of Adalimumab With Placebo, and Demonstrating the Non-inferiority of Monthly 80 mg Adalimumab Dosing Compared With 40 mg Adalimumab Every Other Week Dosing",Abbott,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT03258814,A Post-Marketing-Observational Study (PMOS) to Determine the Effectiveness of Combined Adalimumab Treatment and Active Supervised Training in Patients With Axial Spondyloarthritis (axSpA),AbbVie,TERMINATED,N/A,Axial Spondyloarthritis
NCT04988308,A Study of Bermekimab for the Treatment of Participants With Moderate to Severe Hidradenitis Suppurativa,"Janssen Research & Development, LLC",TERMINATED,PHASE2,Hidradenitis Suppurativa
NCT01401452,Effectiveness of Adalimumab in Moderate to Severe Plaque Psoriasis Patients With Distinct Co-morbidities,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Moderate to Severe Plaque Psoriasis
NCT06291948,A Clinical Study With Adalimumab Biosimilar,Laboratorios Richmond S.A.C.I.F.,COMPLETED,PHASE1,Pharmacokinetics | Safety Issues
NCT01641952,An Observational Study of MabThera/Rituxan (Rituximab) in Patients With Rheumatoid Arthritis and an Inadequate Response or Intolerance to One Anti-Tumor Necrosis Factor (Anti-TNF) Agent,Hoffmann-La Roche,COMPLETED,N/A,Rheumatoid Arthritis
NCT01412021,Special Investigation (All Case Survey) in Patients With Juvenile Idiopathic Arthritis,AbbVie,COMPLETED,N/A,"Arthritis, Juvenile Rheumatoid"
NCT00597623,Efficacy Study of an Anti-Tumor Necrosis Factor (TNF) Alpha Agent in Patients With Hand Osteoarthritis,Assistance Publique - Hôpitaux de Paris,COMPLETED,PHASE3,Hand Osteoarthritis
NCT01561313,Crossover Study of Safety and Tolerability of Two Formulations of Adalimumab.,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE2,Rheumatoid Arthritis
NCT04222920,Adalimumab Dose Reduction Aiming Low Serum Concentration With Control of Disease Activity,Reade Rheumatology Research Institute,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT03357939,Phase I Study of HLX3 vs Adalimumab in Chinese Healthy Subjects,Shanghai Henlius Biotech,COMPLETED,PHASE1,Immune System Disorder
NCT07352566,Utilization of a Microdevice for Psoriasis and Atopic Dermatitis,"University of California, San Francisco",NOT_YET_RECRUITING,PHASE4,Psoriasis | Atopic Dermatitis
NCT07147257,A Trial to Assess the Pharmacokinetic Similarity Between CHS-1420 40 mg/0.4 mL and HUMIRA® (Adalimumab) 40 mg/0.4 mL in Healthy Chinese Adult Participants Under Fasting Conditions,"Nanjing King-Friend Biochemical Pharmaceutical Co., Ltd.",COMPLETED,PHASE1,Healthy Participants
NCT07181694,"A Study of Pharmacokinetics, Safety, and Immunogenicity of BCD-057 100 mg/mL, BCD-057 50 mg/mL, and Humira 100 mg/mL in Healthy Subjects",Biocad,RECRUITING,PHASE1,Healthy Adult Male
NCT02207244,A Study of Guselkumab in the Treatment of Participants With Moderate to Severe Plaque-Type Psoriasis With Randomized Withdrawal and Retreatment,"Janssen Research & Development, LLC",COMPLETED,PHASE3,Psoriasis
NCT03389984,Psoriatic Inflammation Markers Predictive of Response to Adalimumab,Poitiers University Hospital,COMPLETED,NA,Psoriasis Vulgaris
NCT02155192,An Exploratory Genetic Study in Participants With Psoriasis,"Janssen Research & Development, LLC",COMPLETED,N/A,Psoriasis
NCT01497717,Efficacy of Humira in Behcet Patients With Arthritis,Rambam Health Care Campus,COMPLETED,PHASE3,Arthritis; Behcet
NCT04891640,Biologic Abatement and Capturing Kids' Outcomes and Flare Frequency in Juvenile Spondyloarthritis,Children's Hospital of Philadelphia,ACTIVE_NOT_RECRUITING,NA,Juvenile Spondyloarthritis
NCT02660580,MSB11022 in Moderate to Severe Chronic Plaque Psoriasis,Fresenius Kabi SwissBioSim GmbH,COMPLETED,PHASE3,Psoriasis | Plaque Type Psoriasis | Moderate to Severe Plaque Psoriasis
NCT01166282,A Study of the Efficacy and Safety of Adalimumab in Pediatric Subjects With Enthesitis Related Arthritis,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE3,Enthesitis Related Arthritis (ERA)
NCT06441526,Surgical Closure vs Anti-TNF in the Treatment of Perianal Fistulas in Crohn's Disease (PISA-II): a Comprehensive Cohort Design,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),COMPLETED,PHASE3,Perianal Fistula | Crohn Disease
NCT06100744,"A Study to Assess Adverse Events, Change in Disease Activity, and How the Drug Moves Through the Body in Children With Juvenile Psoriatic Arthritis (jPsA) Receiving Subcutaneously Injected Risankizumab or Adalimumab",AbbVie,RECRUITING,PHASE3,Juvenile Psoriatic Arthritis
NCT01295151,SWITCH Clinical Trial for Patients With Rheumatoid Arthritis Who Have Failed an Initial TNF-blocking Drug.,Julia Brown,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT07128472,Evaluation of IL 12B Genetic Polymorphism (rs3213094),South Valley University,RECRUITING,NA,Psoriasis
NCT01076192,Study of Adalimumab (HUMIRA®) in Patients With Moderate to Severe Psoriasis (PS) in Spain (PROMISE),"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Moderate-to-severe Chronic Plaque Psoriasis
NCT02528292,Clinical Disease Activity and Modulation of Synovial Lymphoid Structures and B Cell Function in Rheumatoid Arthritis,Barts & The London NHS Trust,UNKNOWN,N/A,Rheumatoid Arthritis
NCT02489227,Comparison of CHS-1420 Versus Humira in Subjects With Chronic Plaque Psoriasis,"Coherus Oncology, Inc.",COMPLETED,PHASE3,Plaque Psoriasis
NCT05379322,The Use of Synovial Biopsies in Predicting Response to Biologic Therapy in Rheumatoid Arthritis Patients,Abu Dhabi Stem Cells Center,WITHDRAWN,PHASE3,Rheumatoid Arthritis
NCT02988674,"A Study to Assess Retention Rate, Persistence and Adherence in Population of Spondylarthritis (Ankylosing Spondylitis and Psoriatic Arthritis) Patients Treated With Adalimumab in Routine Clinical Settings in Russian Federation",AbbVie,COMPLETED,N/A,Spondylarthritis | Psoriatic Arthritis | Ankylosing Spondylitis (AS)
NCT01971918,Comparative Analysis of Two Therapeutic Strategies in Patients With Spondyloarthritis Treated With Anti-tnf Biologics,"University Hospital, Rouen",TERMINATED,PHASE4,Spondyloarthritis
NCT00660647,Optimized Treatment Algorithm for Patients With Early Rheumatoid Arthritis (RA),University of Aarhus,COMPLETED,PHASE3,"Arthritis, Rheumatoid"
NCT05014555,Sustained Humoral and Cell-Mediated Immunogenicity of COVID-19 Vaccines in Patients With Inflammatory Bowel Disease,GI Alliance,UNKNOWN,N/A,Inflammatory Bowel Diseases
NCT00133315,TNFalfa Blocking Treatment of Spondylarthropathies,Hvidovre University Hospital,COMPLETED,PHASE4,Spondylarthropathies | Ankylosing Spondylitis | Psoriatic Arthritis
NCT03849404,"Efficacy, Safety, and Immunogenicity of AVT02 With Moderate-to-Severe Chronic Plaque Psoriasis",Alvotech Swiss AG,COMPLETED,PHASE3,Plaque Psoriasis
NCT04372108,A Study to Assess the Long-Term Safety of Ustekinumab Versus Other Biologics in Patients With Crohn's Disease and Ulcerative Colitis,"Janssen Scientific Affairs, LLC",RECRUITING,N/A,"Crohn Disease | Colitis, Ulcerative"
NCT00480272,Prospective Study on Intensive Early Rheumatoid Arthritis Treatment,Fondazione IRCCS Policlinico San Matteo di Pavia,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT03445845,Rotation or Change of Biotherapy After TNF Blocker Treatment Failure for Axial Spondyloarthritis,Centre Hospitalier Universitaire de Saint Etienne,COMPLETED,PHASE4,Axial Spondyloarthritis
