NCT_Number,Title,Sponsor,Status,Phases,Conditions
NCT01117480,Real Life Evaluation of Rheumatoid Arthritis in Canadians Taking HUMIRA,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Moderate-to-severe Rheumatoid Arthritis
NCT06085079,Ixekizumab for the Management of Refractory Non-Infectious Uveitis: A Proof-of-Concept Study,Massachusetts Eye Research and Surgery Institution,UNKNOWN,PHASE4,"Uveitis, Posterior | Uveitis, Anterior | Uveitis, Intermediate | Panuveitis"
NCT02929251,"Randomized Trial Comparing Efficacy of Adalimumab, Anakinra and Tocilizumab in Non-infectious Refractory Uveitis",Assistance Publique - Hôpitaux de Paris,COMPLETED,PHASE2,Uveitis | Biotherapy
NCT01400516,Teriparatide for Joint Erosions in Rheumatoid Arthritis: The TERA Trial,Brigham and Women's Hospital,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT02144714,"Pharmacokinetic, Safety, Tolerability and Immunogenicity Study of SB5 in Healthy Subjects","Samsung Bioepis Co., Ltd.",COMPLETED,PHASE1,Healthy
NCT01163916,"Study to Characterize Demographics, Compliance, Tolerability and Safety in Patients With Rheumatoid Arthritis, Psoriatic Arthritis and Ankylosing Spondylitis Prescribed Adalimumab (Humira®) as Part of Routine Clinical Care",Abbott,COMPLETED,N/A,Rheumatoid Arthritis | Psoriatic Arthritis | Ankylosing Spondylitis
NCT03975790,Comparative Analysis of Outcomes Among Patients Initiating Xeljanz in Combination With Oral MTX Who Withdraw MTX Versus Continue MTX,Pfizer,COMPLETED,N/A,Rheumatoid Arthritis
NCT07381543,Adebrelimab Maintenance Therapy for LS-SCLC Post Induction Chemo-Adebrelimab Plus CRT or CRT Alone,Peking University Cancer Hospital & Institute,NOT_YET_RECRUITING,PHASE2,Localized Small Cell Lung Cancer
NCT02762955,Comparative Clinical Trial of Efficacy and Safety of BCD-057 and Humira® in Patients With Moderate to Severe Plaque Psoriasis,Biocad,COMPLETED,PHASE3,Psoriasis
NCT04404517,Correlation of Serum Adalimumab Levels at an Administration of 40 mg Weekly vs 80 mg Every Two Weeks,Hospital Universitario La Paz,UNKNOWN,PHASE3,Inflammatory Bowel Diseases
NCT07258641,Fluorescence Imaging of Adalimumab-680LT and Risankizumab-800CW in Inflammatory Bowel Disease,University Medical Center Groningen,NOT_YET_RECRUITING,PHASE1 | PHASE2,Ulcerative Colitis (UC) | Crohn Disease (CD)
NCT03955861,Ultrasound Enthesitis Response in Psoriatic Arthritis,Belfast Health and Social Care Trust,COMPLETED,N/A,Psoriatic Arthritis | Psoriasis | Enthesitis
NCT02739828,Post Marketing Observational Study (PMOS) to Assess Quality of Life in Swedish Hidradenitis Suppurativa (HS) Patients,AbbVie,COMPLETED,N/A,Hidradenitis Suppurativa
NCT03488030,"A Study to Evaluate Disease Control, Treatment Patterns, Burden of Disease and Quality of Life in Participants With Moderate to Severe Inflammatory Bowel Disease (IBD)",Takeda,COMPLETED,N/A,"Crohn Disease | Colitis, Ulcerative | Inflammatory Bowel Disease"
NCT02557100,Study to Assess Changes in the Immune Profile in Adults With Early Rheumatoid Arthritis,Bristol-Myers Squibb,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT00645892,Extension Study of Two Dosing Schedules of Adalimumab in Subjects With Moderate to Severe Chronic Plaque Psoriasis,Abbott,COMPLETED,PHASE2,Psoriasis
NCT02206867,Pharmacokinetics and Safety Study of LBAL in Healthy Subjects,LG Life Sciences,COMPLETED,PHASE1,Healthy Subjects
NCT05394805,A Study of Subcutaneous HUMIRA (Adalimumab) Injection to Assess Adverse Events and Change in Disease Activity In Adult Participants With Moderate to Severe Active Crohn's Disease (CD),AbbVie,COMPLETED,N/A,Crohn's Disease
NCT02237729,A Study Of PF-06410293 (Adalimumab-Pfizer) And Adalimumab (Humira) In Healthy Subjects (REFLECTIONS B538-07)),Pfizer,COMPLETED,PHASE1,Healthy Subjects
NCT00235872,Adalimumab in Adult Japanese Subjects With Rheumatoid Arthritis,Abbott,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT01490528,Durability and Tolerability of Infliximab in Pediatric Inflammatory Bowel Disease Patients: A 10 Year Single Center Experience,Cedars-Sinai Medical Center,UNKNOWN,N/A,Pediatric Inflammatory Bowel Disease
NCT02437253,"Effects of Adalimumab in Mucopolysaccharidosis Types I, II and VI",Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,COMPLETED,PHASE1 | PHASE2,Mucopolysaccharidosis Type I | Mucopolysaccharidosis Type II | Mucopolysaccharidosis Type VI
NCT02130362,A Non-Interventional Clinical Study to Evaluate Long-Term Safety and Effectiveness of HUMIRA (Adalimumab) in Pediatric Patients With Moderately to Severely Active Crohn's Disease (CD),AbbVie,ACTIVE_NOT_RECRUITING,N/A,Crohn's Disease
NCT05986903,Influence of HLA-DQA1*05 Genotype in Adults With Anti-TNF Treatment With Proactive Therapeutic Drug Monitoring.,Hospital del Rio Hortega,UNKNOWN,N/A,Drug Monitoring | Inflammatory Bowel Diseases
NCT03839862,Faecal Analyses in Spondyloarthritis Therapy,Region Skane,RECRUITING,N/A,Spondyloarthropathies | Ankylosing Spondylitis
NCT00736983,Adalimumab in Combination With Ciprofloxacin/Placebo Treatment of Perianal Fistulas in Crohn's,Foundation for Liver Research,COMPLETED,PHASE3,Crohn's Disease With Perianal Fistulas
NCT02506179,Impact of Adalimumab on Patient-reported Outcomes in Ulcerative Colitis,AbbVie,COMPLETED,N/A,Ulcerative Colitis
NCT02433340,"Phase 2, Multicenter, Open-Label Extension Study With ABT-122 in Rheumatoid Arthritis Subjects Who Have Completed the Preceding M12-963 Study",AbbVie,COMPLETED,PHASE2,Rheumatoid Arthritis
NCT03853395,BIOTIPRA: BIOmarker-guided Treatment Decisions in Psoriatic and Rheumatoid Arthritis,University of Manchester,ACTIVE_NOT_RECRUITING,NA,"Arthritis, Rheumatoid"
NCT05706038,Impact of Adalimumab Withdrawal or Continuation on Severity of COVID-19 and Risk of IMID Relapse,IRCCS San Raffaele,COMPLETED,N/A,Inflammatory Bowel Diseases | Rheumatic Disorder
NCT05180526,"Assessment of Safety , Clinical Efficacy with QLETLI in Non-infectious Uveitis (UV)",Bio-Thera Solutions,ACTIVE_NOT_RECRUITING,PHASE4,Uveitis
NCT02896985,Observational Study Evaluating the Effectiveness of Drug Concentration to Predict the Recapture of Response in Crohn's Disease Patients With Loss of Response ( PRADA ),AbbVie,COMPLETED,N/A,Crohn's Disease
NCT00193648,Pilot Studies of Novel Therapies to Treat Resistant Focal Segmental Glomerulosclerosis (FSGS),Northwell Health,COMPLETED,PHASE1,Focal Glomerulosclerosis
NCT04798755,"Efficacy, Safety and Costs of Methotrexate, Adalimumab, or Their Combination in Non-infectious Non-anterior Uveitis","Hospital San Carlos, Madrid",UNKNOWN,PHASE3,Uveitis
NCT04808739,Adalimumab Biosimilar in Clinical Practice,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,COMPLETED,N/A,Psoriasis
NCT00566722,Open Label Study of Adalimumab in Subjects Who Have a Sub-optimal Response to Systemic Therapy or Phototherapy,Abbott,COMPLETED,PHASE3,Psoriasis
NCT03414502,Treatment of Rheumatoid Arthritis With DMARDs: Predictors of Response,University of Nebraska,RECRUITING,PHASE3,Rheumatoid Arthritis
NCT02822235,Non-interventional Study of Moderate to Severe Inflammatory Bowel Disease in Brazil,Takeda,COMPLETED,N/A,Inflammatory Bowel Disease
NCT01298648,Special Investigation in Patients With Crohn's Disease (All Patients Investigation),"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Crohn's Disease
NCT02897115,A Study Treating Participants With Early Axial Spondyloarthritis (axSpA) Taking an Intense Treatment Approach Versus Routine Treatment,AbbVie,TERMINATED,PHASE4,Axial Spondyloarthritis
NCT07545317,Real-World Study of IL-23 Inhibitors in Active Crohn's Disease,"Sixth Affiliated Hospital, Sun Yat-sen University",RECRUITING,N/A,Crohn's Disease
NCT02242474,Anti-TNFα Use During Elective Foot and Ankle Surgery in Patients With Rheumatoid Arthritis,CHU de Quebec-Universite Laval,UNKNOWN,PHASE4,Rheumatoid Arthritis
NCT00638469,UVB-311nm After Initial Slow Response to Adalimumab in Psoriasis,Medical University of Graz,UNKNOWN,NA,Psoriasis
NCT04772248,Safety of TofAcitinib in Routine Care Patients With Rheumatoid Arthritis (STAR-RA)- Cardiovascular Endpoints,Brigham and Women's Hospital,COMPLETED,N/A,Rheumatoid Arthritis
NCT00650026,Early Access Program of the Safety of Human Anti-TNF Monoclonal Antibody Adalimumab in Subjects With Active Rheumatoid Arthritis,Abbott,APPROVED_FOR_MARKETING,N/A,Rheumatoid Arthritis
NCT02492217,Biomarkers Identification of Anti-tumor Necrosis Factor (TNF) α Agent's Efficacy in Ankylosing Spondylitis Patients,Universidade Nova de Lisboa,COMPLETED,PHASE4,Ankylosing Spondylitis
